"","period","type","distribution","g1,g2","p,q","BIC","pvalue"
"228","daily","eGARCH","norm","1,1","2,1","-3.91781875405997",8.71858141238135e-13
"229","daily","eGARCH","norm","1,1","2,2","-3.91724498058245",7.36077865326479e-14
"230","daily","eGARCH","norm","1,1","2,3","-3.92035904409065",5.50670620214078e-13
"231","daily","eGARCH","norm","1,1","2,4","-3.91631830847184",2.44249065417534e-15
"232","daily","eGARCH","norm","1,1","3,0","-3.91752356396888",6.26054763586126e-13
"233","daily","eGARCH","norm","1,1","3,1","-3.91439803729082",1.02473585172902e-13
"234","daily","eGARCH","norm","1,1","3,2","-3.92044118057923",8.77076189453874e-15
"235","daily","eGARCH","norm","1,1","3,3","-3.91717275083183",1.13742348872847e-12
"236","daily","eGARCH","norm","1,1","3,4","-3.91426204611417",1.11022302462516e-16
"237","daily","eGARCH","norm","1,1","4,0","-3.91449539373569",6.87228052242972e-14
"238","daily","eGARCH","norm","1,1","4,1","-3.911180326057",1.32116539930394e-14
"239","daily","eGARCH","norm","1,1","4,2","-3.91772352931189",3.77475828372553e-15
"240","daily","eGARCH","norm","1,1","4,3","-3.91456291451315",1.11022302462516e-16
"241","daily","eGARCH","norm","1,2","0,0","-3.93289125865659",2.45139020194074e-09
"242","daily","eGARCH","norm","1,2","0,1","-3.92972434941061",1.16594511823109e-11
"243","daily","eGARCH","norm","1,2","0,2","-3.9271939720452",3.00437452693814e-12
"244","daily","eGARCH","norm","1,2","0,3","-3.92408716700497",1.35447209004269e-13
"245","daily","eGARCH","norm","1,2","0,4","-3.92096607419602",3.33066907387547e-15
"246","daily","eGARCH","norm","1,2","1,0","-3.92973581750111",8.52617976221381e-12
"247","daily","eGARCH","norm","1,2","1,1","-3.92678600971886",5.43787237461402e-13
"248","daily","eGARCH","norm","1,2","1,2","-3.92429750757305",2.10387263166467e-13
"249","daily","eGARCH","norm","1,2","1,3","-3.92088739257591",3.44169137633799e-15
"250","daily","eGARCH","norm","1,2","1,4","-3.91773394751557",5.32907051820075e-15
"251","daily","eGARCH","norm","1,2","2,0","-3.92719227460069",3.98636679221909e-12
"252","daily","eGARCH","norm","1,2","2,1","-3.92425882710525",3.04312131049755e-13
"253","daily","eGARCH","norm","1,2","2,2","-3.92340555367262",2.24265050974282e-14
"254","daily","eGARCH","norm","1,2","2,3","-3.92712228709921",1.02651220856842e-12
"255","daily","eGARCH","norm","1,2","2,4","-3.91811922557203",1.77635683940025e-15
"256","daily","eGARCH","norm","1,2","3,0","-3.92407698974282",2.01949568179316e-13
"257","daily","eGARCH","norm","1,2","3,1","-3.92085451916908",3.07531777821168e-14
"258","daily","eGARCH","norm","1,2","3,2","-3.91903053993101",2.65343302885412e-14
"259","daily","eGARCH","norm","1,2","3,3","-3.91722679905149",2.22044604925031e-16
"260","daily","eGARCH","norm","1,2","3,4","-3.92303733209284",0
"261","daily","eGARCH","norm","1,2","4,0","-3.92091269035064",2.79776202205539e-14
"262","daily","eGARCH","norm","1,2","4,1","-3.91766863305568",4.77395900588817e-15
"263","daily","eGARCH","norm","1,2","4,2","-3.92540245285565",0
"264","daily","eGARCH","norm","1,2","4,3","-3.9251081760097",0
"265","daily","eGARCH","norm","1,3","0,0","-3.931332070091",2.45139020194074e-09
"266","daily","eGARCH","norm","1,3","0,1","-3.92830751454222",5.57220936059366e-13
"267","daily","eGARCH","norm","1,3","0,2","-3.92589499581979",5.37236921616113e-13
"268","daily","eGARCH","norm","1,3","0,3","-3.92323678506598",5.55111512312578e-16
"269","daily","eGARCH","norm","1,3","0,4","-3.92009256882863",1.11022302462516e-16
"270","daily","eGARCH","norm","1,3","1,0","-3.92834319435311",2.9787283750693e-13
"271","daily","eGARCH","norm","1,3","1,1","-3.9253797680816",8.12683254025615e-14
"272","daily","eGARCH","norm","1,3","1,2","-3.923151002364",4.18554080283684e-14
"273","daily","eGARCH","norm","1,3","1,3","-3.92001732896738",2.22044604925031e-16
"274","daily","eGARCH","norm","1,3","1,4","-3.91684363402357",0
"275","daily","eGARCH","norm","1,3","2,0","-3.92585358464344",1.06681330436231e-12
"276","daily","eGARCH","norm","1,3","2,1","-3.92307442062407",4.78506123613442e-14
"277","daily","eGARCH","norm","1,3","2,2","-3.92863151790644",2.16282547427227e-12
"278","daily","eGARCH","norm","1,3","2,3","-3.92540046881612",1.59872115546023e-14
"279","daily","eGARCH","norm","1,3","2,4","-3.91770999551683",1.11022302462516e-16
"280","daily","eGARCH","norm","1,3","3,0","-3.92317192474848",8.88178419700125e-16
"281","daily","eGARCH","norm","1,3","3,1","-3.91993469507543",1.11022302462516e-16
"282","daily","eGARCH","norm","1,3","3,2","-3.91908031184642",3.33066907387547e-16
"283","daily","eGARCH","norm","1,3","3,3","-3.91496049077754",0
"284","daily","eGARCH","norm","1,3","3,4","-3.91937049962841",0
"285","daily","eGARCH","norm","1,3","4,0","-3.91998458809693",1.11022302462516e-16
"286","daily","eGARCH","norm","1,3","4,1","-3.91675989920415",0
"287","daily","eGARCH","norm","1,3","4,2","-3.92334116459844",0
"288","daily","eGARCH","norm","1,3","4,3","-3.92000825364644",0
"289","daily","eGARCH","norm","2,1","0,0","-3.93375802519832",2.45139020194074e-09
"290","daily","eGARCH","norm","2,1","0,1","-3.93085695366398",2.19491091968393e-13
"291","daily","eGARCH","norm","2,1","0,2","-3.92813483352788",1.14019904629004e-13
"292","daily","eGARCH","norm","2,1","0,3","-3.9253745938854",3.33066907387547e-16
"293","daily","eGARCH","norm","2,1","0,4","-3.92255505809443",0
"294","daily","eGARCH","norm","2,1","1,0","-3.9308916233956",1.15130127653629e-13
"295","daily","eGARCH","norm","2,1","1,1","-3.92782499160255",4.32986979603811e-14
"296","daily","eGARCH","norm","2,1","1,2","-3.925345211909",1.24344978758018e-14
"297","daily","eGARCH","norm","2,1","1,3","-3.92220623429639",0
"298","daily","eGARCH","norm","2,1","1,4","-3.91932623261179",0
"299","daily","eGARCH","norm","2,1","2,0","-3.92809656749008",2.01616501271928e-13
"300","daily","eGARCH","norm","2,1","2,1","-3.92526696416285",2.4535928844216e-14
"301","daily","eGARCH","norm","2,1","2,2","-3.93174817894075",2.71971334342425e-12
"302","daily","eGARCH","norm","2,1","2,3","-3.92846094579699",1.08801856413265e-14
"303","daily","eGARCH","norm","2,1","2,4","-3.92000869681296",0
"304","daily","eGARCH","norm","2,1","3,0","-3.9252849476627",5.55111512312578e-16
"305","daily","eGARCH","norm","2,1","3,1","-3.9221022962592",1.11022302462516e-16
"306","daily","eGARCH","norm","2,1","3,2","-3.92172884886788",1.11022302462516e-16
"307","daily","eGARCH","norm","2,1","3,3","-3.91751447201099",2.22044604925031e-16
"308","daily","eGARCH","norm","2,1","3,4","-3.92247572235159",0
"309","daily","eGARCH","norm","2,1","4,0","-3.92244220051182",0
"310","daily","eGARCH","norm","2,1","4,1","-3.91922196639005",0
"311","daily","eGARCH","norm","2,1","4,2","-3.92624875504816",0
"312","daily","eGARCH","norm","2,1","4,3","-3.92295249075359",0
"313","daily","eGARCH","norm","2,2","0,0","-3.93044672489026",2.45139020194074e-09
"314","daily","eGARCH","norm","2,2","0,1","-3.92754859135626",2.11497486191092e-13
"315","daily","eGARCH","norm","2,2","0,2","-3.92481913107411",1.09579012530503e-13
"316","daily","eGARCH","norm","2,2","0,3","-3.92206139100358",3.33066907387547e-16
"317","daily","eGARCH","norm","2,2","0,4","-3.9192518870257",0
"318","daily","eGARCH","norm","2,2","1,0","-3.92758303916007",8.47100167788994e-14
"319","daily","eGARCH","norm","2,2","1,1","-3.92451341894625",4.22994972382185e-14
"320","daily","eGARCH","norm","2,2","1,2","-3.9220290042082",9.88098491916389e-15
"321","daily","eGARCH","norm","2,2","1,3","-3.91889551403361",0
"322","daily","eGARCH","norm","2,2","1,4","-3.91602285580282",0
"323","daily","eGARCH","norm","2,2","2,0","-3.92478070697607",1.94955163124177e-13
"324","daily","eGARCH","norm","2,2","2,1","-3.92195044243119",2.33146835171283e-14
"325","daily","eGARCH","norm","2,2","2,2","-3.92045846193651",3.33066907387547e-16
"326","daily","eGARCH","norm","2,2","2,3","-3.92518397366937",1.0547118733939e-14
"327","daily","eGARCH","norm","2,2","2,4","-3.92239592727604",0
"328","daily","eGARCH","norm","2,2","3,0","-3.92197081375703",5.55111512312578e-16
"329","daily","eGARCH","norm","2,2","3,1","-3.91879080173853",0
"330","daily","eGARCH","norm","2,2","3,2","-3.9169362324061",5.55111512312578e-16
"331","daily","eGARCH","norm","2,2","3,3","-3.91420021825492",0
"332","daily","eGARCH","norm","2,2","3,4","-3.91919912058976",0
